country,cost_of_living_index,iso3,region,median_salary_usd,affordability_index
Switzerland,101.1,CHE,Europe & Central Asia,120000,1187.0
United States,70.2,USA,North America,110000,1566.7
Australia,73.8,AUS,East Asia & Pacific,95000,1287.5
Canada,65.0,CAN,North America,90000,1384.6
Germany,68.0,DEU,Europe & Central Asia,86000,1264.7
Netherlands,70.5,NLD,Europe & Central Asia,82000,1163.1
United Kingdom,67.3,GBR,Europe & Central Asia,80000,1188.7
Sweden,68.4,SWE,Europe & Central Asia,78000,1140.4
Denmark,89.1,DNK,Europe & Central Asia,88000,987.7
Norway,96.2,NOR,Europe & Central Asia,92000,956.3
France,72.5,FRA,Europe & Central Asia,72000,993.1
Israel,90.4,ISR,Middle East & North Africa,95000,1050.9
Japan,77.5,JPN,East Asia & Pacific,55000,709.7
South Korea,62.4,KOR,East Asia & Pacific,52000,833.3
Spain,55.1,ESP,Europe & Central Asia,48000,871.1
Italy,63.2,ITA,Europe & Central Asia,46000,728.0
Poland,44.2,POL,Europe & Central Asia,38000,859.7
Czechia,50.3,CZE,Europe & Central Asia,36000,715.7
Portugal,51.8,PRT,Europe & Central Asia,28000,540.5
Brazil,42.0,BRA,Latin America & Caribbean,32000,761.9
Mexico,36.5,MEX,Latin America & Caribbean,20000,547.9
Argentina,28.3,ARG,Latin America & Caribbean,14000,494.7
Colombia,28.1,COL,Latin America & Caribbean,12000,426.7
China,41.3,CHN,East Asia & Pacific,24000,581.1
India,24.7,IND,South Asia,18000,728.7
Nigeria,30.5,NGA,Sub-Saharan Africa,10000,327.9
South Africa,38.2,ZAF,Sub-Saharan Africa,16000,418.8
Egypt,26.1,EGY,Middle East & North Africa,8000,306.5
Turkey,38.6,TUR,Europe & Central Asia,22000,570.0
Russia,38.9,RUS,Europe & Central Asia,20000,514.1
